Ht_cm,Wt_kg,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,y
187.5,103.05,4.69,35.0,,125.0,7.33,4.51,39.0,492.0,762.0,64.6,5553.0,7.3,7.2,31.0,16.0,135.0,0
187.5,99.45,,,,,,,38.0,650.0,945.0,68.8,8852.0,9.4,10.5,78.0,11.0,172.4,1
190.0,100.8,5.0,28.0,,109.0,7.13,4.37,,,,,,,,,,,0
195.0,103.95,4.89,27.5,,110.0,7.5,4.75,29.0,468.0,782.0,59.8,5590.0,7.1,7.2,39.0,16.0,132.3,1
185.0,98.55,5.01,30.0,,111.0,7.27,4.51,43.0,621.0,982.0,63.2,8224.0,8.4,9.1,78.0,18.0,156.1,1
185.0,92.25,,,,,,,15.0,496.0,694.0,71.5,5596.0,8.1,8.3,48.0,17.0,157.1,0
195.0,106.2,4.68,35.5,,123.0,7.06,4.46,43.0,827.0,1293.0,64.0,10541.0,8.2,8.8,95.0,23.0,153.1,1
182.5,99.9,4.59,35.0,,125.0,,,56.0,682.0,1047.0,65.1,9477.0,9.1,9.7,80.0,20.0,162.6,1
185.0,95.85,4.95,31.0,,113.0,7.14,4.4,41.0,721.0,1249.0,57.7,8293.0,6.6,6.2,47.0,32.0,120.8,0
190.0,100.8,4.74,35.5,,118.0,7.21,4.52,38.0,689.0,1125.0,61.2,8600.0,7.6,7.6,60.0,29.0,137.9,1
195.0,100.8,,,,,,,29.0,496.0,797.0,62.2,5630.0,7.1,7.3,43.0,15.0,135.6,1
187.5,96.75,4.58,36.0,,121.0,7.13,4.52,33.0,616.0,1004.0,61.4,8032.0,8.0,8.3,70.0,24.0,146.8,1
190.0,103.95,4.68,33.0,,117.0,7.25,4.43,45.0,824.0,1321.0,62.4,9710.0,7.4,7.2,63.0,33.0,134.9,0
190.0,103.05,4.89,29.0,,112.0,7.51,4.64,42.0,699.0,1221.0,57.2,8654.0,7.1,6.9,65.0,34.0,128.8,1
182.5,95.4,4.71,31.0,,116.0,7.14,4.5,36.0,662.0,1098.0,60.3,8800.0,8.0,8.1,68.0,27.0,143.1,0
190.0,105.75,4.81,28.5,,108.0,7.26,4.48,,,,,,,,,,,1
180.0,97.65,,,,,,,32.0,474.0,684.0,69.3,7442.0,10.9,12.7,87.0,11.0,199.4,1
187.5,103.05,4.69,35.0,,125.0,7.33,4.51,39.0,492.0,762.0,64.6,5553.0,7.3,7.2,31.0,16.0,135.0,0
185.0,95.85,4.95,31.0,,113.0,7.14,4.4,41.0,721.0,1249.0,57.7,8293.0,6.6,6.2,47.0,32.0,120.8,0
185.0,92.25,,,,,,,15.0,496.0,694.0,71.5,5596.0,8.1,8.3,48.0,17.0,157.1,0
182.5,95.4,4.71,31.0,,116.0,7.14,4.5,36.0,662.0,1098.0,60.3,8800.0,8.0,8.1,68.0,27.0,143.1,0
185.0,95.85,4.95,31.0,,113.0,7.14,4.4,41.0,721.0,1249.0,57.7,8293.0,6.6,6.2,47.0,32.0,120.8,0
